0.143602 1.40172 1.58461
2.22973 2.10552 3.45833
3.09057 3.59695 4.69648
4.86665 5.59357 6.42946
6.51674 7.49913 7.09194
8.34023 8.8657 9.00431
9.94132 10.3288 10.6422
10.7537 11.3013 11.8233
12.0858 13.17 13.1253
14.1393 14.8947 14.6082
15.5429 15.7774 16.0324
16.7799 17.6407 17.9379
18.8279 18.8376 19.3192
20.1696 20.0385 20.8761
21.6701 21.6823 22.0952
22.7235 23.7423 24.38
24.9534 24.9896 25.1765
26.4776 26.0336 26.7986
27.5326 28.4749 28.1797
28.5971 29.7991 29.8354
30.9878 30.5291 31.2608
31.6367 32.5224 32.5737
33.3146 34.2007 34.9809
35.2072 35.2413 36.1595
36.1999 36.5131 37.2951
38.1595 38.3651 38.8902
39.7967 39.8693 40.7625
40.6332 41.2463 42.2185
42.6808 42.9671 43.0411
43.7523 44.2849 44.6975
45.1597 46.0998 46.2277
46.634 47.7773 47.884
48.8399 48.8516 49.0056
49.6618 0.160116 0.470263
0.801219 0.836874 1.06604
1.4565 1.59965 2.00587
2.43908 2.5919 2.7484
3.09378 3.04287 3.5951
3.96359 3.83695 4.12547
4.70361 4.95764 5.05759
5.11676 5.56463 5.67674
6.15517 6.14387 6.35871
6.53316 7.2101 7.01782
7.48558 7.79865 8.00954
8.13593 8.31007 8.90522
9.24849 9.25367 9.48939
9.61762 9.81436 10.2535
10.3239 10.6565 10.8084
11.4124 11.5632 11.9004
11.9999 12.2473 12.6443
12.598 12.8588 13.1914
13.3686 13.5892 14.2278
14.2308 14.5654 14.6325
15.1279 15.3804 15.5794
15.5666 15.7959 16.2386
16.3001 16.6921 17.1445
17.098 17.6175 17.9205
17.7853 18.3177 18.4201
18.5548 19.065 19.1542
19.5328 19.6165 19.9713
20.4235 20.4663 20.5877
21.1904 21.2063 21.3493
21.7912 21.8011 22.4492
22.2971 22.5724 22.9508
23.0869 23.5277 23.6528
23.8038 24.1493 24.2514
24.5707 25.0529 1.52558
2.39266 2.5111 3.84311
5.7258 5.92434 6.71495
7.80774 8.46076 9.56673
10.9764 12.3666 12.8586
13.4916 15.2622 15.9955
16.773 17.7043 19.5853
20.5769 21.0562 21.1638
22.3937 24.0854 25.5881
25.888 27.5363 27.7963
29.1281 29.6433 30.5008
31.1245 32.8616 34.1409
34.7519 35.4275 36.3756
38.7302 38.7527 40.3099
40.5068 42.1828 42.9515
44.2936 45.2462 45.9662
46.3306 48.1436 49.4975
50.1318 51.069 52.2236
53.737 53.4122 55.1143
55.8418 57.1262 58.516
59.1587 59.2449 61.2636
62.0561 62.544 64.1895
65.1263 66.1256 67.1954
68.0475 68.9342 70.4256
70.7568 71.8521 73.3834
73.7867 75.5387 76.1128
76.9295 78.5938 79.7959
79.7798 81.039 81.9972
83.2767 83.1012 85.0507
85.8039 86.5719 88.4372
89.4661 89.9751 91.4797
91.707 93.7188 93.6718
94.8078 95.9657 96.8434
98.4409 99.8766 99.9229
0.143602 1.40172 1.58461
2.22973 2.10552 3.45833
3.09057 3.59695 4.69648
4.86665 5.59357 6.42946
6.51674 7.49913 7.09194
8.34023 8.8657 9.00431
9.94132 10.3288 10.6422
10.7537 11.3013 11.8233
12.0858 13.17 13.1253
14.1393 14.8947 14.6082
15.5429 15.7774 16.0324
16.7799 17.6407 17.9379
18.8279 18.8376 19.3192
20.1696 20.0385 20.8761
21.6701 21.6823 22.0952
22.7235 23.7423 24.38
24.9534 24.9896 25.1765
26.4776 26.0336 26.7986
27.5326 28.4749 28.1797
28.5971 29.7991 29.8354
30.9878 30.5291 31.2608
31.6367 32.5224 32.5737
33.3146 34.2007 34.9809
35.2072 35.2413 36.1595
36.1999 36.5131 37.2951
38.1595 38.3651 38.8902
39.7967 39.8693 40.7625
40.6332 41.2463 42.2185
42.6808 42.9671 43.0411
43.7523 44.2849 44.6975
45.1597 46.0998 46.2277
46.634 47.7773 47.884
48.8399 48.8516 49.0056
49.6618 0.160116 0.470263
0.801219 0.836874 1.06604
1.4565 1.59965 2.00587
2.43908 2.5919 2.7484
3.09378 3.04287 3.5951
3.96359 3.83695 4.12547
4.70361 4.95764 5.05759
5.11676 5.56463 5.67674
6.15517 6.14387 6.35871
6.53316 7.2101 7.01782
7.48558 7.79865 8.00954
8.13593 8.31007 8.90522
9.24849 9.25367 9.48939
9.61762 9.81436 10.2535
10.3239 10.6565 10.8084
11.4124 11.5632 11.9004
11.9999 12.2473 12.6443
12.598 12.8588 13.1914
13.3686 13.5892 14.2278
14.2308 14.5654 14.6325
15.1279 15.3804 15.5794
15.5666 15.7959 16.2386
16.3001 16.6921 17.1445
17.098 17.6175 17.9205
17.7853 18.3177 18.4201
18.5548 19.065 19.1542
19.5328 19.6165 19.9713
20.4235 20.4663 20.5877
21.1904 21.2063 21.3493
21.7912 21.8011 22.4492
22.2971 22.5724 22.9508
23.0869 23.5277 23.6528
23.8038 24.1493 24.2514
24.5707 25.0529 1.52558
2.39266 2.5111 3.84311
5.7258 5.92434 6.71495
7.80774 8.46076 9.56673
10.9764 12.3666 12.8586
13.4916 15.2622 15.9955
16.773 17.7043 19.5853
20.5769 21.0562 21.1638
22.3937 24.0854 25.5881
25.888 27.5363 27.7963
29.1281 29.6433 30.5008
31.1245 32.8616 34.1409
34.7519 35.4275 36.3756
38.7302 38.7527 40.3099
40.5068 42.1828 42.9515
44.2936 45.2462 45.9662
46.3306 48.1436 49.4975
50.1318 51.069 52.2236
53.737 53.4122 55.1143
55.8418 57.1262 58.516
59.1587 59.2449 61.2636
62.0561 62.544 64.1895
65.1263 66.1256 67.1954
68.0475 68.9342 70.4256
70.7568 71.8521 73.3834
73.7867 75.5387 76.1128
76.9295 78.5938 79.7959
79.7798 81.039 81.9972
83.2767 83.1012 85.0507
